feedback_id,customer_id,category_id,feedback_date,feedback_description,sentiment,source,rating,response_status,improvement_suggested,
37,37,37,00:00.0,The service was way too slow.,Negative,Online Forum,1,Responded,Improve service,
38,38,38,00:00.0,This website is so easy to navigate!,Positive,Google Reviews,5,Not Responded,N/A,
39,39,39,00:00.0,I had a horrible experience at this restaurant.,Negative,TripAdvisor,1,Responded,Improve service,
40,40,40,00:00.0,The delivery was prompt and professional.,Positive,Online Store,5,Not Responded,N/A,
41,41,41,00:00.0,The customer support was difficult to reach.,Negative,Yelp,1,Responded,Improve support,
42,42,42,00:00.0,Absolutely love this product!,Positive,Amazon,5,Not Responded,N/A,
43,43,43,00:00.0,I wouldnot recommend this place to anyone.,Negative,Online Forum,1,Responded,Improve service,
44,44,44,00:00.0,This app has changed my life for the better!,Positive,App Store,5,Not Responded,N/A,
45,45,45,00:00.0,The food was not worth the price.,Negative,Zomato,1,Responded,Improve quality,
46,46,46,00:00.0,Fantastic product! Will buy again!,Positive,Amazon,5,Not Responded,N/A,
47,47,47,00:00.0,Very dissatisfied with the service.,Negative,Yelp,2,Responded,Improve service,
48,48,48,00:00.0,Quick delivery and great quality!,Positive,Online Store,4,Not Responded,N/A,
49,49,49,00:00.0,The app is confusing and difficult to use.,Negative,App Store,1,Responded,Improve UX,
50,50,50,00:00.0,I had a great experience at this hotel!,Positive,TripAdvisor,5,Not Responded,N/A,
51,51,51,00:00.0,The food was overpriced and bland.,Negative,Zomato,2,Responded,Improve quality,
52,52,52,00:00.0,Great atmosphere and friendly staff!,Positive,Google Reviews,4,Not Responded,N/A,
53,53,53,00:00.0,I won’t be coming back again.,Negative,Online Forum,1,Responded,Improve service,
54,54,54,00:00.0,This gadget works perfectly!,Positive,Amazon,5,Not Responded,N/A,
55,55,55,00:00.0,Awful experience, the staff was rude.,Negative,Yelp,1,Responded,Improve training
56,56,56,00:00.0,Loved the presentation and the food!,Positive,Facebook,5,Not Responded,N/A,
57,57,57,00:00.0,The product didn’t match the description.,Negative,Online Store,2,Responded,Update description,
58,58,58,00:00.0,I highly recommend this place!,Positive,TripAdvisor,5,Not Responded,N/A,
59,59,59,00:00.0,The service was slow and unprofessional.,Negative,Google Reviews,1,Responded,Improve speed,
60,60,60,00:00.0,Such a great value for money!,Positive,Yelp,4,Not Responded,N/A,
61,61,61,00:00.0,The customer service line was busy all day.,Negative,Online Forum,1,Responded,Increase staffing,
62,62,62,00:00.0,Best product I’ve ever purchased!,Positive,Amazon,5,Not Responded,N/A,
63,63,63,00:00.0,Disappointed with the quality of the item.,Negative,Zomato,2,Responded,Quality check,
64,64,64,00:00.0,Everything was perfect during my stay!,Positive,TripAdvisor,5,Not Responded,N/A,
65,65,65,00:00.0,Food was cold when served.,Negative,Yelp,2,Responded,Improve service,
66,66,66,00:00.0,Quick and easy checkout process.,Positive,Online Store,5,Not Responded,N/A,
67,67,67,00:00.0,The product broke after one use.,Negative,Amazon,1,Responded,Quality check,
68,68,68,00:00.0,Friendly service and delicious food!,Positive,Facebook,5,Not Responded,N/A,
69,69,69,00:00.0,Too many ads on the app.,Negative,App Store,2,Responded,Reduce ads,
70,70,70,00:00.0,One of the best concerts I’ve attended!,Positive,Event Review,5,Not Responded,N/A,
71,71,71,00:00.0,Horrible experience, will not return.,Negative,Online Forum,1,Responded,Improve service
72,72,72,00:00.0,This is my new favorite restaurant!,Positive,Google Reviews,5,Not Responded,N/A,
73,73,73,00:00.0,Terrible customer support!,Negative,Yelp,1,Responded,Improve support,
74,74,74,00:00.0,The product exceeded my expectations!,Positive,Amazon,5,Not Responded,N/A,
75,75,75,00:00.0,Very poor quality, not worth the price.,Negative,Zomato,1,Responded,Improve quality
76,76,76,00:00.0,Excellent customer service!,Positive,Facebook,5,Not Responded,N/A,
77,77,77,00:00.0,Product arrived late and damaged.,Negative,Online Store,2,Responded,Better packaging,
78,78,78,00:00.0,Highly professional staff!,Positive,Google Reviews,5,Not Responded,N/A,
79,79,79,00:00.0,The quality has gone down.,Negative,Amazon,2,Responded,Quality check,
80,80,80,00:00.0,I enjoyed my experience!,Positive,TripAdvisor,4,Not Responded,N/A,
81,81,81,00:00.0,The app crashed multiple times.,Negative,App Store,1,Responded,Fix bugs,
82,82,82,00:00.0,I will definitely recommend this place!,Positive,Yelp,5,Not Responded,N/A,
83,83,83,00:00.0,Terrible food quality.,Negative,Zomato,1,Responded,Improve quality,
84,84,84,00:00.0,Perfect for a family outing!,Positive,Google Reviews,5,Not Responded,N/A,
85,85,85,00:00.0,The staff was unhelpful.,Negative,Online Forum,1,Responded,Staff training,
86,86,86,00:00.0,Amazing value for money!,Positive,Amazon,5,Not Responded,N/A,
87,87,87,00:00.0,The website is very slow.,Negative,Online Store,2,Responded,Improve speed,
88,88,88,00:00.0,Fantastic service and quick delivery!,Positive,Facebook,5,Not Responded,N/A,
89,89,89,00:00.0,Disappointing, the product does not work.,Negative,Amazon,1,Responded,Quality check
90,90,90,00:00.0,I had a wonderful experience!,Positive,TripAdvisor,5,Not Responded,N/A,
91,91,91,00:00.0,The item was missing parts.,Negative,Online Store,1,Responded,Check inventory,
92,92,92,00:00.0,Highly recommend the service!,Positive,Yelp,5,Not Responded,N/A,
93,93,93,00:00.0,The instructions were unclear.,Negative,Google Reviews,2,Responded,Update instructions,
94,94,94,00:00.0,Loved the ambiance!,Positive,Facebook,5,Not Responded,N/A,
95,95,95,00:00.0,I will never buy this again.,Negative,Amazon,1,Responded,Improve quality,
96,96,96,00:00.0,Excellent quality and service!,Positive,Zomato,5,Not Responded,N/A,
97,97,97,00:00.0,Customer service was unhelpful.,Negative,Yelp,1,Responded,Improve training,
98,98,98,00:00.0,Best purchase I’ve made!,Positive,Online Store,5,Not Responded,N/A,
99,99,99,00:00.0,Not worth the price at all.,Negative,TripAdvisor,2,Responded,Adjust pricing,
100,100,100,00:00.0,I would come back anytime!,Positive,Google Reviews,5,Not Responded,N/A,
